time,open,high,low,close,tick_volume,spread,real_volume
2025-09-11 23:33:00,0.59778,0.59779,0.59769,0.59774,62,2,0
2025-09-11 23:36:00,0.59773,0.59779,0.59773,0.59775,62,2,0
2025-09-11 23:39:00,0.59776,0.59776,0.59771,0.59772,20,2,0
2025-09-11 23:42:00,0.59776,0.59777,0.59773,0.59773,27,9,0
2025-09-11 23:45:00,0.5977,0.59772,0.59761,0.59762,51,9,0
2025-09-11 23:48:00,0.5976,0.59773,0.59758,0.59772,52,9,0
2025-09-11 23:51:00,0.59773,0.59785,0.59773,0.59776,80,9,0
2025-09-11 23:54:00,0.59777,0.59778,0.59763,0.59767,61,9,0
2025-09-11 23:57:00,0.59766,0.59772,0.59748,0.59748,73,9,0
2025-09-12 00:00:00,0.59573,0.59731,0.59573,0.59731,29,29,0
2025-09-12 00:03:00,0.5973,0.5973,0.59681,0.59715,8,30,0
2025-09-12 00:06:00,0.5971,0.5973,0.59674,0.5973,7,30,0
2025-09-12 00:09:00,0.59634,0.59728,0.59634,0.59728,9,32,0
2025-09-12 00:12:00,0.59727,0.59727,0.59727,0.59727,1,33,0
2025-09-12 00:15:00,0.59724,0.59724,0.59724,0.59724,1,36,0
2025-09-12 00:18:00,0.59689,0.59689,0.59689,0.59689,1,90,0
2025-09-12 00:21:00,0.59689,0.59689,0.59689,0.59689,3,90,0
2025-09-12 00:24:00,0.59689,0.59689,0.59684,0.59687,7,85,0
2025-09-12 00:27:00,0.59687,0.59697,0.59687,0.59696,6,72,0
2025-09-12 00:30:00,0.59694,0.59697,0.59686,0.59693,35,69,0
2025-09-12 00:33:00,0.59693,0.59696,0.59681,0.59684,18,57,0
2025-09-12 00:36:00,0.59684,0.59689,0.59684,0.59689,5,62,0
2025-09-12 00:39:00,0.59689,0.59698,0.59689,0.59698,10,54,0
2025-09-12 00:42:00,0.59698,0.5972,0.59697,0.59699,31,42,0
2025-09-12 00:45:00,0.59698,0.5971,0.59698,0.59701,47,54,0
2025-09-12 00:48:00,0.59703,0.59703,0.59697,0.59697,20,57,0
2025-09-12 00:51:00,0.59697,0.59698,0.59696,0.59698,7,61,0
2025-09-12 00:54:00,0.59697,0.5972,0.59697,0.59705,24,41,0
2025-09-12 00:57:00,0.59705,0.59708,0.59705,0.59707,11,55,0
2025-09-12 01:00:00,0.59706,0.59773,0.59704,0.59772,59,4,0
2025-09-12 01:03:00,0.59771,0.59772,0.5976,0.5976,14,4,0
2025-09-12 01:06:00,0.59761,0.59767,0.59761,0.59762,16,4,0
2025-09-12 01:09:00,0.59764,0.59764,0.59752,0.59753,23,4,0
2025-09-12 01:12:00,0.59754,0.59758,0.59746,0.59752,25,5,0
2025-09-12 01:15:00,0.59754,0.59758,0.59751,0.59752,15,5,0
2025-09-12 01:18:00,0.59753,0.59754,0.59752,0.59752,12,5,0
2025-09-12 01:21:00,0.59754,0.59756,0.59752,0.59755,22,5,0
2025-09-12 01:24:00,0.59754,0.59757,0.5975,0.59754,20,4,0
2025-09-12 01:27:00,0.5976,0.59764,0.59754,0.59764,17,5,0
2025-09-12 01:30:00,0.59763,0.59768,0.59754,0.59754,33,4,0
2025-09-12 01:33:00,0.59755,0.59759,0.59752,0.59756,38,4,0
2025-09-12 01:36:00,0.59757,0.59757,0.59752,0.59756,24,4,0
2025-09-12 01:39:00,0.59755,0.59758,0.5975,0.59752,24,3,0
2025-09-12 01:42:00,0.59752,0.59755,0.59749,0.59753,27,4,0
2025-09-12 01:45:00,0.59752,0.59752,0.59746,0.59748,23,4,0
2025-09-12 01:48:00,0.59749,0.5975,0.59742,0.59742,20,4,0
2025-09-12 01:51:00,0.59743,0.59749,0.59739,0.5974,31,4,0
2025-09-12 01:54:00,0.59741,0.59744,0.5974,0.59743,27,4,0
2025-09-12 01:57:00,0.59744,0.59764,0.59744,0.59763,34,3,0
2025-09-12 02:00:00,0.59764,0.5978,0.59762,0.59775,48,4,0
2025-09-12 02:03:00,0.59774,0.5978,0.59772,0.5978,28,3,0
2025-09-12 02:06:00,0.59779,0.5978,0.5977,0.59778,30,3,0
2025-09-12 02:09:00,0.59777,0.59777,0.59761,0.59771,35,3,0
2025-09-12 02:12:00,0.59772,0.59776,0.59761,0.59775,53,3,0
2025-09-12 02:15:00,0.59774,0.59774,0.59771,0.59774,16,3,0
2025-09-12 02:18:00,0.59775,0.59776,0.59771,0.59773,27,3,0
2025-09-12 02:21:00,0.59772,0.59773,0.59771,0.59773,12,3,0
2025-09-12 02:24:00,0.59772,0.59774,0.59772,0.59773,12,3,0
2025-09-12 02:27:00,0.59772,0.59778,0.59771,0.59778,21,4,0
2025-09-12 02:30:00,0.59777,0.59781,0.59771,0.59774,14,4,0
2025-09-12 02:33:00,0.59775,0.59775,0.5977,0.59772,10,4,0
2025-09-12 02:36:00,0.59773,0.59782,0.59772,0.59782,19,3,0
2025-09-12 02:39:00,0.59779,0.59782,0.59773,0.59781,31,3,0
2025-09-12 02:42:00,0.59781,0.59782,0.59774,0.59776,30,3,0
2025-09-12 02:45:00,0.59778,0.59781,0.59774,0.59779,42,2,0
2025-09-12 02:48:00,0.5978,0.59784,0.59775,0.59784,23,2,0
2025-09-12 02:51:00,0.59786,0.59786,0.59774,0.59775,38,5,0
2025-09-12 02:54:00,0.59777,0.59781,0.59767,0.59774,69,4,0
2025-09-12 02:57:00,0.59775,0.5978,0.59769,0.59769,117,4,0
2025-09-12 03:00:00,0.59768,0.59777,0.59758,0.59766,138,4,0
2025-09-12 03:03:00,0.59764,0.5978,0.59755,0.59759,103,4,0
2025-09-12 03:06:00,0.5976,0.59764,0.5975,0.59761,104,3,0
2025-09-12 03:09:00,0.5976,0.59764,0.59738,0.5975,118,3,0
2025-09-12 03:12:00,0.59749,0.59761,0.59749,0.59752,73,3,0
2025-09-12 03:15:00,0.59751,0.59757,0.59728,0.59731,110,3,0
2025-09-12 03:18:00,0.5973,0.59744,0.59723,0.59737,93,3,0
2025-09-12 03:21:00,0.59738,0.59739,0.59718,0.59728,96,2,0
2025-09-12 03:24:00,0.59727,0.59733,0.59723,0.5973,77,2,0
2025-09-12 03:27:00,0.59729,0.5973,0.5972,0.59721,78,2,0
2025-09-12 03:30:00,0.5972,0.59732,0.59711,0.59718,99,2,0
2025-09-12 03:33:00,0.59719,0.5972,0.59703,0.59708,67,2,0
2025-09-12 03:36:00,0.59707,0.59713,0.59694,0.59711,70,2,0
2025-09-12 03:39:00,0.59712,0.59716,0.59705,0.59708,38,2,0
2025-09-12 03:42:00,0.59709,0.5973,0.59699,0.5973,96,2,0
2025-09-12 03:45:00,0.59729,0.59737,0.59723,0.59736,49,2,0
2025-09-12 03:48:00,0.59738,0.59738,0.59724,0.59726,56,2,0
2025-09-12 03:51:00,0.59728,0.59739,0.59726,0.59738,99,2,0
2025-09-12 03:54:00,0.59739,0.59753,0.59732,0.59748,132,3,0
2025-09-12 03:57:00,0.59749,0.59765,0.59737,0.59764,166,2,0
2025-09-12 04:00:00,0.59765,0.59775,0.59747,0.59747,87,2,0
2025-09-12 04:03:00,0.59745,0.5975,0.5974,0.59744,68,2,0
2025-09-12 04:06:00,0.59743,0.59743,0.59727,0.59736,79,2,0
2025-09-12 04:09:00,0.59737,0.5975,0.59733,0.59742,88,3,0
2025-09-12 04:12:00,0.59743,0.59751,0.59739,0.59742,82,2,0
2025-09-12 04:15:00,0.5974,0.59741,0.59717,0.59732,120,2,0
2025-09-12 04:18:00,0.59733,0.59754,0.59732,0.59741,100,2,0
2025-09-12 04:21:00,0.5974,0.59747,0.59728,0.59741,99,2,0
2025-09-12 04:24:00,0.5974,0.59747,0.59732,0.5974,101,2,0
2025-09-12 04:27:00,0.59739,0.59754,0.59739,0.59751,104,2,0
2025-09-12 04:30:00,0.59752,0.59759,0.59739,0.59748,72,2,0
2025-09-12 04:33:00,0.59749,0.59755,0.59727,0.59738,56,2,0
2025-09-12 04:36:00,0.59737,0.5974,0.59721,0.59736,80,2,0
2025-09-12 04:39:00,0.5974,0.59752,0.59735,0.59735,110,2,0
2025-09-12 04:42:00,0.59736,0.59743,0.5973,0.59735,98,2,0
2025-09-12 04:45:00,0.59734,0.59739,0.59729,0.59732,94,2,0
2025-09-12 04:48:00,0.59733,0.59733,0.59706,0.59707,135,2,0
2025-09-12 04:51:00,0.59708,0.59716,0.59692,0.59699,125,2,0
2025-09-12 04:54:00,0.597,0.59713,0.59695,0.59707,104,2,0
2025-09-12 04:57:00,0.59708,0.59716,0.59695,0.59702,123,2,0
2025-09-12 05:00:00,0.59703,0.59708,0.59697,0.59705,76,2,0
2025-09-12 05:03:00,0.59706,0.59709,0.59699,0.59709,44,2,0
2025-09-12 05:06:00,0.59705,0.59713,0.59693,0.59701,76,3,0
2025-09-12 05:09:00,0.597,0.59715,0.59697,0.59706,38,2,0
2025-09-12 05:12:00,0.59705,0.5971,0.597,0.59709,62,2,0
2025-09-12 05:15:00,0.5971,0.59718,0.597,0.59707,54,2,0
2025-09-12 05:18:00,0.59708,0.59709,0.597,0.59707,63,2,0
2025-09-12 05:21:00,0.59708,0.59714,0.59702,0.59708,64,2,0
2025-09-12 05:24:00,0.59713,0.59717,0.59698,0.59702,65,3,0
2025-09-12 05:27:00,0.59702,0.5971,0.597,0.59701,32,2,0
2025-09-12 05:30:00,0.59698,0.59712,0.59696,0.59711,41,2,0
2025-09-12 05:33:00,0.59709,0.59714,0.59697,0.59698,60,2,0
2025-09-12 05:36:00,0.59697,0.59702,0.59695,0.59702,20,2,0
2025-09-12 05:39:00,0.59701,0.59713,0.59691,0.59691,41,2,0
2025-09-12 05:42:00,0.59693,0.59709,0.59691,0.59709,64,4,0
2025-09-12 05:45:00,0.59705,0.59719,0.59704,0.59716,69,3,0
2025-09-12 05:48:00,0.59715,0.59723,0.59714,0.59716,37,2,0
2025-09-12 05:51:00,0.59718,0.59721,0.59712,0.59715,32,2,0
2025-09-12 05:54:00,0.59714,0.5972,0.59712,0.59719,44,2,0
2025-09-12 05:57:00,0.5972,0.59721,0.59713,0.59713,44,2,0
2025-09-12 06:00:00,0.59714,0.59717,0.59701,0.59703,51,3,0
